mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_max_features,param_max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.1071329116821289,0.015905094665946553,0.000986003875732422,0.0017265090359297837,50,5,1,2,"{'n_estimators': 50, 'min_samples_split': 5, 'max_features': 1, 'max_depth': 2}",,,,,,,,1
0.197385835647583,0.015666760215521776,0.00046253204345703125,0.0009250640869140625,100,8,1,2,"{'n_estimators': 100, 'min_samples_split': 8, 'max_features': 1, 'max_depth': 2}",,,,,,,,1
0.001389932632446289,0.0011549699432721855,0.0,0.0,200,2,1,1.0,"{'n_estimators': 200, 'min_samples_split': 2, 'max_features': 1, 'max_depth': 1.0}",,,,,,,,1
0.0005011558532714844,0.0010023117065429688,0.0,0.0,50,5,1,1.0,"{'n_estimators': 50, 'min_samples_split': 5, 'max_features': 1, 'max_depth': 1.0}",,,,,,,,1
0.49106626510620116,0.016126010392114254,0.0,0.0,200,2,log2,2,"{'n_estimators': 200, 'min_samples_split': 2, 'max_features': 'log2', 'max_depth': 2}",,,,,,,,1
0.3601954936981201,0.01882977634453632,0.0,0.0,100,2,log2,5,"{'n_estimators': 100, 'min_samples_split': 2, 'max_features': 'log2', 'max_depth': 5}",,,,,,,,1
0.4034401893615723,0.022842462215663183,0.002805805206298828,0.005611610412597656,200,5,1,5,"{'n_estimators': 200, 'min_samples_split': 5, 'max_features': 1, 'max_depth': 5}",,,,,,,,1
0.0004433631896972656,0.0008867263793945311,0.0,0.0,50,8,1,1.0,"{'n_estimators': 50, 'min_samples_split': 8, 'max_features': 1, 'max_depth': 1.0}",,,,,,,,1
0.00046486854553222655,0.0009297370910644532,0.0,0.0,200,5,1,1.0,"{'n_estimators': 200, 'min_samples_split': 5, 'max_features': 1, 'max_depth': 1.0}",,,,,,,,1
0.296496057510376,0.015395712119492156,0.0,0.0,100,5,auto,2,"{'n_estimators': 100, 'min_samples_split': 5, 'max_features': 'auto', 'max_depth': 2}",,,,,,,,1
